"Gmt.time","Open","High","Low","Close","Volume"
"01.01.2017 22:00:00.000",1.01772,1.01805,1.01772,1.01799,14449999.6901
"01.01.2017 22:15:00.000",1.01799,1.01811,1.01652,1.0177,36659999.4899
"01.01.2017 22:30:00.000",1.0177,1.018,1.0171,1.01774,40109999.7759
"01.01.2017 22:45:00.000",1.01774,1.01775,1.01774,1.01774,12229999.6616
"01.01.2017 23:00:00.000",1.01783,1.01809,1.01655,1.01656,118359999.8951
"01.01.2017 23:15:00.000",1.01654,1.01802,1.01654,1.01802,122850000.3815
"01.01.2017 23:30:00.000",1.01802,1.01814,1.01627,1.01752,83789999.485
"01.01.2017 23:45:00.000",1.01753,1.01877,1.01752,1.01877,144470000.2671
"02.01.2017 00:00:00.000",1.01877,1.0188,1.01855,1.01876,54369999.8856
"02.01.2017 00:15:00.000",1.01876,1.01879,1.01854,1.01857,30500000
"02.01.2017 00:30:00.000",1.01857,1.02005,1.0175,1.01761,149420000.0764
"02.01.2017 00:45:00.000",1.0176,1.01764,1.01733,1.01748,48969999.3136
"02.01.2017 01:00:00.000",1.01734,1.01874,1.01734,1.01872,56449999.0943
"02.01.2017 01:15:00.000",1.01872,1.01945,1.01862,1.01935,55309999.8237
"02.01.2017 01:30:00.000",1.01935,1.01942,1.01935,1.01935,33750000
"02.01.2017 01:45:00.000",1.01935,1.02017,1.01889,1.02001,56359999.6567
"02.01.2017 02:00:00.000",1.02001,1.02046,1.01966,1.0201,74869999.8856
"02.01.2017 02:15:00.000",1.02012,1.02047,1.01964,1.01968,31500000
"02.01.2017 02:30:00.000",1.01964,1.01968,1.01876,1.01961,41139999.7473
"02.01.2017 02:45:00.000",1.01961,1.01961,1.01904,1.01961,26269999.981
"02.01.2017 03:00:00.000",1.01961,1.01961,1.01924,1.01961,37619999.8856
"02.01.2017 03:15:00.000",1.01961,1.02007,1.01923,1.02005,66989999.7711
"02.01.2017 03:30:00.000",1.02005,1.0201,1.01929,1.01968,40369999.8856
"02.01.2017 03:45:00.000",1.01968,1.01968,1.01918,1.01965,5.4e+07
"02.01.2017 04:00:00.000",1.01964,1.01966,1.0191,1.01959,15500000
"02.01.2017 04:15:00.000",1.01902,1.01959,1.01902,1.01934,48589999.3183
"02.01.2017 04:30:00.000",1.01934,1.01934,1.01933,1.01934,9479999.7807
"02.01.2017 04:45:00.000",1.01934,1.02011,1.01934,1.01949,53489999.7711
"02.01.2017 05:00:00.000",1.01949,1.0195,1.01949,1.01949,15870000.0048
"02.01.2017 05:15:00.000",1.01949,1.01982,1.01892,1.01903,64369999.8856
"02.01.2017 05:30:00.000",1.019,1.0191,1.01892,1.0191,54199998.856
"02.01.2017 05:45:00.000",1.01906,1.0191,1.01891,1.01902,28849999.428
"02.01.2017 06:00:00.000",1.01902,1.01904,1.019,1.01901,15599999.7855
"02.01.2017 06:15:00.000",1.01901,1.01934,1.01895,1.01934,44349999.4279
"02.01.2017 06:30:00.000",1.01934,1.01934,1.01894,1.01901,62869999.8856
"02.01.2017 06:45:00.000",1.019,1.019,1.01894,1.01899,33099999.428
"02.01.2017 07:00:00.000",1.01898,1.01926,1.01842,1.01852,200239997.8639
"02.01.2017 07:15:00.000",1.01855,1.01873,1.01838,1.01853,215880003.9293
"02.01.2017 07:30:00.000",1.01847,1.01966,1.01825,1.01941,3970229969.0246
"02.01.2017 07:45:00.000",1.01939,1.01979,1.01862,1.01965,637070001.6021
